City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
397,San Cristobal,7.7669,-72.225,69.98,92,84,3.15,VE,2021-12-13 03:31:33,broken clouds
398,Gizo,-8.103,156.8419,85.68,72,24,10.63,SB,2021-12-13 03:31:34,light rain
399,Iskateley,67.6803,53.1512,15.53,95,100,10.85,RU,2021-12-13 03:31:34,overcast clouds
400,Deer Lake,49.1667,-57.4316,33.66,64,90,20.71,CA,2021-12-13 03:31:34,light shower snow
401,Vestmanna,62.1564,-7.1664,38.32,87,90,20.71,FO,2021-12-13 03:31:35,overcast clouds
402,Port Macquarie,-31.4333,152.9167,75.88,59,0,14.63,AU,2021-12-13 03:31:35,clear sky
403,Kinablangan,7.6947,126.5503,83.62,75,98,8.23,PH,2021-12-13 03:31:35,overcast clouds
404,Lompoc,34.6391,-120.4579,53.13,85,1,5.75,US,2021-12-13 03:27:05,clear sky
405,Padang,-0.9492,100.3543,84.25,86,100,4.12,ID,2021-12-13 03:31:36,light rain
406,Itacarambi,-15.1022,-44.0919,71.11,96,100,2.98,BR,2021-12-13 03:31:36,overcast clouds
407,Mehamn,71.0357,27.8492,31.91,95,100,7.09,NO,2021-12-13 03:31:36,light snow
408,Baker City,44.7749,-117.8344,37.92,95,90,4.61,US,2021-12-13 03:31:37,overcast clouds
409,Ierapetra,35.01,25.7353,55.44,72,3,3.0,GR,2021-12-13 03:31:37,clear sky
410,Kerema,-7.9631,145.7785,85.1,70,100,5.23,PG,2021-12-13 03:31:37,light rain
411,Miri,4.4148,114.0089,86.14,70,40,6.91,MY,2021-12-13 03:31:38,scattered clouds
412,Mitzic,0.7821,11.549,68.94,98,97,2.46,GA,2021-12-13 03:31:38,overcast clouds
413,Jinxiang,27.4327,120.6062,54.09,73,100,13.56,CN,2021-12-13 03:31:38,overcast clouds
414,Butembo,0.15,29.2833,58.51,79,100,2.53,CD,2021-12-13 03:32:39,overcast clouds
415,Akdepe,42.0551,59.3788,30.29,79,94,9.57,TM,2021-12-13 03:32:39,overcast clouds
416,Kargopol,61.5071,38.9456,22.57,96,100,5.68,RU,2021-12-13 03:32:39,overcast clouds
417,Khani,41.9563,42.9566,42.37,41,63,7.92,GE,2021-12-13 03:32:40,broken clouds
418,Maroantsetra,-15.4333,49.7333,74.39,86,92,2.91,MG,2021-12-13 03:32:40,overcast clouds
419,Griffith,41.5284,-87.4237,44.71,65,1,5.01,US,2021-12-13 03:32:40,clear sky
420,Lensk,60.7253,114.9278,-14.8,93,100,4.7,RU,2021-12-13 03:32:41,overcast clouds
421,Christchurch,-43.5333,172.6333,65.48,75,90,4.0,NZ,2021-12-13 03:32:41,light rain
422,Tambovka,50.0969,128.0489,5.11,88,100,9.78,RU,2021-12-13 03:32:41,overcast clouds
423,Orlik,52.5178,99.825,6.53,89,71,1.88,RU,2021-12-13 03:32:42,broken clouds
424,Grootfontein,-19.5667,18.1167,60.37,88,40,0.0,NA,2021-12-13 03:32:42,scattered clouds
425,Flagstaff,35.1981,-111.6513,40.66,65,1,1.01,US,2021-12-13 03:30:43,clear sky
426,Dongsheng,39.8161,109.9776,24.96,48,0,13.69,CN,2021-12-13 03:32:43,clear sky
427,Saint George,37.1041,-113.5841,42.8,60,1,3.0,US,2021-12-13 03:30:24,clear sky
