City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
232,Skagen,57.7209,10.5839,35.1,79,100,14.52,DK,2021-12-11 06:04:00
233,Grants,35.1473,-107.8514,17.83,62,1,9.22,US,2021-12-11 06:04:00
234,Cairns,-16.9167,145.7667,91.11,71,88,6.91,AU,2021-12-11 06:03:17
235,Berlevag,70.8578,29.0864,22.46,87,92,13.69,NO,2021-12-11 06:04:01
236,Port Hedland,-20.3167,118.5667,93.25,59,44,18.41,AU,2021-12-11 06:04:01
237,Airai,-8.9266,125.4092,71.4,77,50,2.04,TL,2021-12-11 06:04:02
238,Matara,5.9485,80.5353,87.51,59,20,11.5,LK,2021-12-11 06:04:02
239,Taraclia,45.9,28.6689,46.76,91,92,9.28,MD,2021-12-11 06:04:03
240,Labuhan,-6.8844,112.2051,88.16,62,94,7.27,ID,2021-12-11 06:04:03
241,Port Blair,11.6667,92.75,83.41,68,0,15.23,IN,2021-12-11 06:04:03
242,Pitimbu,-7.4706,-34.8086,79.39,77,23,13.04,BR,2021-12-11 06:04:04
243,Acari,-15.4311,-74.6158,70.3,80,72,2.8,PE,2021-12-11 06:04:04
244,Sorong,-0.8833,131.25,84.92,70,39,8.12,ID,2021-12-11 06:04:05
245,Wonosobo,-7.36,109.9025,81.86,96,81,4.38,ID,2021-12-11 06:04:05
246,Sedona,34.8697,-111.761,36.07,69,1,17.27,US,2021-12-11 06:00:16
247,San Lazaro,18.0387,-88.6622,70.52,96,6,1.99,BZ,2021-12-11 06:04:06
248,Namibe,-15.1961,12.1522,73.69,63,11,3.0,AO,2021-12-11 06:04:06
249,Nabire,-3.3667,135.4833,89.08,58,49,5.48,ID,2021-12-11 06:04:06
250,Clyde River,70.4692,-68.5914,-0.17,78,87,14.97,CA,2021-12-11 06:04:07
251,Kununurra,-15.7667,128.7333,100.38,34,40,11.5,AU,2021-12-11 06:04:07
252,Pemba,-12.974,40.5178,83.34,63,0,12.21,MZ,2021-12-11 06:04:08
253,Zyryanka,65.75,150.85,-46.53,96,16,4.92,RU,2021-12-11 06:04:08
254,Manokwari,-0.8667,134.0833,84.02,77,63,12.12,ID,2021-12-11 06:04:09
255,San Juan,-31.5375,-68.5364,71.04,62,20,5.37,AR,2021-12-11 06:03:08
256,Newport,51.5877,-2.9984,45.14,85,97,3.89,GB,2021-12-11 06:04:09
257,Katsuura,35.1333,140.3,59.14,64,2,4.81,JP,2021-12-11 06:04:09
258,Tanete,-3.9443,119.7848,85.73,68,99,11.86,ID,2021-12-11 06:04:10
259,Brownsville,25.9018,-97.4975,78.1,88,90,5.99,US,2021-12-11 06:03:30
260,Hasaki,35.7333,140.8333,59.4,41,0,4.34,JP,2021-12-11 06:04:10
261,Saldanha,-33.0117,17.9442,64.06,73,78,8.88,ZA,2021-12-11 06:04:11
262,Corinto,37.9407,22.9573,62.46,82,95,12.26,GR,2021-12-11 06:04:11
263,Jablah,35.3614,35.9256,53.89,66,0,4.61,SY,2021-12-11 06:04:11
264,Havelock,34.8791,-76.9013,66.15,92,90,1.99,US,2021-12-11 06:04:12
265,Adrar,20.5022,-10.0711,62.15,14,99,8.32,MR,2021-12-11 06:04:12
266,Saint-Augustin,51.226,-58.6502,20.66,56,100,7.18,CA,2021-12-11 06:04:13
267,Tromso,69.6496,18.957,30.22,74,75,17.27,NO,2021-12-11 06:04:13
268,Rio Grande,-32.035,-52.0986,64.94,79,88,7.83,BR,2021-12-11 06:02:30
